affiliation,type,affiliation_QID,city,state_province,country,coordinate-location,lat,long,street-address
Florida International University,Institution,Q1065809,Miami,FL,USA,"25.7529,-80.3732",25.7529,-80.3732,
Florida State University,Institution,Q861548,Tallahassee,FL,USA,"30.440555555556,-84.291388888889",30.440555555556,-84.291388888889,
Folger Shakespeare Library,Institution,Q728116,Washington,DC,USA,"38.889361,-77.003172",38.889361,-77.003172,
Folkwang University of the Arts,Institution,Q521612,Essen,,Germany,"51.3875, 7.00444",51.3875, 7.00444,
"Fondation Beyeler, Basel",Institution,Q673833,Basel,,Switzerland,"47.588139,7.651056",47.588139,7.651056,
Fonds national suisse de la recherche scientifique,Institution,Q471732,Bern,,Switzerland,"46.94973724300976,7.432408173099187",46.94973724300976,7.432408173099187,
Fordham University,Institution,Q130965,New York,NY,USA,"40.862827, -73.885752",40.862827, -73.885752,
"Fort Atkinson, WI",City of Residence,Q1570350,Fort Atkinson,WI,USA,"42.927222,-88.840556",42.927222,-88.840556,
"Fort Collins, CO",City of Residence,Q490732,Fort Collins,CO,USA,"40.566667,-105.083333",40.566667,-105.083333,
"Fort Lauderdale, FL",City of Residence,Q165972,Fort Lauderdale,FL,USA,"26.135833333333,-80.141944444444",26.135833333333,-80.141944444444,
"Fowler Museum of Cultural History, University of California, Los Angeles",Institution,Q7864026,Los Angeles,CA,USA,"34.0728,-118.443",34.0728,-118.443,
Framingham State University,Institution,Q4982077,Framingham,MA,USA,"42.2977,-71.4366",42.2977,-71.4366,
Franckesche Stiftungen,Institution,Q276846,Halle,,Germany,"51.4781,11.9719",51.4781,11.9719,
Frankfurter Allgemeine Zeitung GmbH,Institution,Q10184,Frankfurt,,Germany,"52.364200828787155,8.635693626098858",52.364200828787155,8.635693626098858,
Franklin and Marshall College,Institution,Q664881,Lancaster,PA,USA,"40.0469,-76.3206",40.0469,-76.3206,
Freie Universität Berlin,Institution,Q153006,Berlin,,Germany,"52.453055555556,13.290555555556",52.453055555556,13.290555555556,
"Fribourg, Switzerland",City of Residence,Q36378,Fribourg,,Switzerland,"46.8,7.15",46.8,7.15,
Frick Art and Historical Center,Institution,Q3753155,Pittsburgh,PA,USA,"40.448,-79.901",40.448,-79.901,
Frick Art Reference Library,Institution,Q5503390,New York,NY,USA,"40.7714,-73.9669",40.7714,-73.9669,
Frick Collection,Institution,Q682827,New York,NY,USA,"40.771111,-73.967222",40.771111,-73.967222,
Friedrich-Schiller-Universität Jena,Institution,Q154561,Jena,,Germany,"50.928333,11.582222",50.928333,11.582222,
Fruitlands Museum,Institution,Q5506454,Harvard,MA,USA,"42.493611,-71.613056",42.493611,-71.613056,
"Fundação Armando Álvares Penteado, São Paulo",Institution,Q5508993,São Paulo,,Brazil,"-23.545016, -46.66308",-23.545016, -46.66308,
Fundação Nacional de Arte,Institution,Q10286372,Rio de Janeiro,,Brazil,"-22.905204, -43.177816",-22.905204, -43.177816,
Fundacion Juan March,Institution,Q29043218,Madrid,,Spain,"40.431269,-3.681391",40.431269,-3.681391,
Galleria degli Uffizi,Institution,Q16335227,Florence,,Italy,"43.76809,11.255364",43.76809,11.255364,
"Galleria Nazionale, Parma",Institution,Q772890,Parma,,Italy,"44.804722, 10.325861",44.804722, 10.325861,
Gallerie Estensi,Institution,Q106052423,Modena,,Italy,"44.648246, 10.921038",44.648246, 10.921038,
"Geneva, Switzerland",Institution,Q71,Geneva,,Switzerland,"46.2,6.15",46.2,6.15,
George Mason University,Institution,Q1411222,Fairfax,VA,USA,"38.8308,-77.3075",38.8308,-77.3075,
George Washington University,Institution,Q432637,Washington,DC,USA,"38.900833333333,-77.050833333333",38.900833333333,-77.050833333333,
Georgetown University,Institution,Q333886,Washington,DC,USA,"38.907222, -77.072778",38.907222, -77.072778,
"Georgetown University, Charles Strong Center, Villa le Balze, Fiesole",Institution,Q664344,Tuscany,,Italy,"43.806416666667,11.287888888889",43.806416666667,11.287888888889,
Georgia Institute of Technology,Institution,Q864855,Atlanta,GA,USA,"33.775806,-84.394694",33.775806,-84.394694,
Georgia Museum of Art,Institution,Q5547611,Athens,GA,USA,"3.941272,-83.369965",3.941272,-83.369965,
Georgia State University,Institution,Q1509333,Atlanta,GA,USA,"33.7528, -84.3861",33.7528, -84.3861,
"Georgian National Museum, Tbilisi",Institution,Q2586798,Tbilisi,,Georgia,"41.696046,44.800255",41.696046,44.800255,
Getty research institute,Institution,Q11203476,Los Angeles,CA,USA,"34.076888888889,-118.476",34.076888888889,-118.476,
Goethe-Universität Frankfurt am Main,Institution,Q50662,Frankfurt,,Germany,"50.119444, 8.651389",50.119444, 8.651389,
"Goldsmiths, University of London",Institution,Q528231,London,,United Kingdom,"51.474269, -0.035411",51.474269, -0.035411,
Gonzaga University,Institution,Q1537303,Spokane,WA,USA,"47.66721,-117.40235",47.66721,-117.40235,
Goucher College,Institution,Q4134258,Baltimore,MD,USA,"39.40777777777778,-76.59222222222222",39.40777777777778,-76.59222222222222,
"Gräfelfing, Germany",City of Residence,Q504854,Gräfelfing,,Germany,"48.118888888889,11.428888888889",48.118888888889,11.428888888889,
"Greenbelt, MD",City of Residence,Q755877,Greenbelt,MD,USA,"38.99467,-76.885399",38.99467,-76.885399,
"Gresham College, City University, London",Institution,Q27085974,London,,United Kingdom,"51.515135,-0.091308",51.515135,-0.091308,
Grinnell College,Institution,Q2982991,Grinnell,IA,USA,"41.75087, -92.719768",41.75087, -92.719768,
"Groningen, Netherlands",City of Residence,Q749,Groningen,,Netherlands,"53.21888888888889,6.5675",53.21888888888889,6.5675,
Guangzhou Academy of Fine Arts,Institution,Q5613717,Guangzhou,,China,"23.095444,113.273028",23.095444,113.273028,
Haifa University,Institution,Q591115,Haifa,,Israel,"32.7625,35.018056",32.7625,35.018056,
"Hamburg, Germany",City of Residence,Q1055,Hamburg,,Germany,"53.55,10",53.55,10,
Hamburger Bahnhof,Institution,Q584756,Berlin,,Germany,"52.528333,13.372222",52.528333,13.372222,
"Hamden, CT",City of Residence,Q755271,Hamden,CT,USA,"41.397777777778,-72.921666666667",41.397777777778,-72.921666666667,
Hampshire College,Institution,Q1706859,Amherst,NY,USA,"42.325079,-72.530837",42.325079,-72.530837,
Harvard University,Institution,Q13371,Cambridge,MA,USA,"42.374443888889,-71.116943888889",42.374443888889,-71.116943888889,
"Harvard University, Fogg Art Museum",Institution,Q809600,Cambridge,MA,USA,"42.37508,-71.114518",42.37508,-71.114518,
"Hastings-on-Hudson, NY",City of Residence,Q3248527,Hastings-on-Hudson,NY,USA,"40.991111,-73.874167",40.991111,-73.874167,
Hebrew University of Jerusalem,Institution,Q174158,Jerusalem,,Israel,"31.775833333333,35.2",31.775833333333,35.2,
Henry Moore Institute,Institution,Q26656018,Leeds,,United Kingdom,"53.800146,-1.547439",53.800146,-1.547439,
"Hermosa Beach, CA",City of Residence,Q828712,Hermosa Beach,CA,USA,"33.866388888889,-118.39972222222",33.866388888889,-118.39972222222,
"Herzog August Bibliothek, Wolfenbüttel",Institution,Q663820,Wolfenbüttel,,Germany,"52.167, 10.533",52.167, 10.533,
Hobart and William Smith Colleges,Institution,Q4119316,Geneva,NY,USA,"42.8571,-76.9854",42.8571,-76.9854,
Hochschule für Grafik und Buchkunst Leipzig,Institution,Q315175,Leipzig,,Germany,"51.33340583,12.36783611",51.33340583,12.36783611,
"Hollywood, FL",City of Residence,Q234453,Hollywood,FL,USA,"26.021388888889,-80.175",26.021388888889,-80.175,
Hood College,Institution,Q5897438,Washington,DC,USA,"39.4225,-77.4186",39.4225,-77.4186,
"Hood Museum of Art, Dartmouth College",Institution,Q3140304,Hanover,NH,USA,"43.70222222,-72.28805556",43.70222222,-72.28805556,
"Houston, TX",City of Residence,Q16555,Houston,TX,USA,"29.762778, -95.383056",29.762778, -95.383056,
Howard University,Institution,Q1068752,Washington,DC,USA,"38.921667, -77.02",38.921667, -77.02,
Humboldt-Universität zu Berlin,Institution,Q152087,Berlin,,Germany,"52.518055555556,13.393333333333",52.518055555556,13.393333333333,
"Hungarian Academy of Sciences, Budapest, Institute of Art History, Budapest",Institution,Q265058,Budapest,,Hungary,"47.5013,19.0463",47.5013,19.0463,
"Hungen, Germany",City of Residence,Q602629,Hungen,,Germany,"50.473080555555555,8.899611111111112",50.473080555555555,8.899611111111112,
"Hunter College and the Graduate Center, City University of New York",Institution,Q1446181,New York,NY,USA,"40.768538,-73.964741",40.768538,-73.964741,
Illinois Wesleyan University,Institution,Q2159219,Bloomington,IN,USA,"40.490556,-88.991389",40.490556,-88.991389,
"Ilmmünster, Germany",City of Residence,Q489250,Ilmmünster,,Germany,"48.483333333333,11.5",48.483333333333,11.5,
Indian Museum,Institution,Q1364900,Calcutta,,India,"22.558055555556,88.350833333333",22.558055555556,88.350833333333,
Indiana University,Institution,Q6608367,Bloomington,IN,USA,"39.166666666666664,-86.5",39.166666666666664,-86.5,
"Indiana University, Bloomington",Institution,Q1079140,Bloomington,IN,USA,"39.167222,-86.521389",39.167222,-86.521389,
Institut français de la mode,Institution,Q3152284,Paris,,France,"48.84062,2.36997",48.84062,2.36997,
Institut für Kunstgeschichte der Universität Wien,Institution,Q165980,Vienna,,Austria,"48.213055555556,16.359722222222",48.213055555556,16.359722222222,
"Institut für Kunstgeschichte und Musikwissenschaften, Johannes Gutenberg-Universität Mainz",Institution,Q161982,Mainz,,Germany,"49.993055555556,8.2416666666667",49.993055555556,8.2416666666667,
Institut national d'histoire de l'art,Institution,Q3152376,Paris,,France,"48.86684,2.33935",48.86684,2.33935,
Institut za povijest umjetnosti,Institution,Q30297133,Zagreb,,Croatia,"45.799073,15.971377",45.799073,15.971377,
Institute for Advanced Study,Institution,Q635642,Princeton,NJ,USA,"40.331666666667,-74.667777777778",40.331666666667,-74.667777777778,
"Institute for Architectural and Urban Theory, Moscow",Institution,Q4304042,Moscow,,Russia,"55.76305556,37.6225",55.76305556,37.6225,
"Institute of Archaeology and Ethnography, Siberia",Institution,Q4201411,Novosibirsk,,Russia,"54.84111112,83.11305557",54.84111112,83.11305557,
"Institute of Archaeology, Chinese Academy of Social Sciences",Institution,Q1073828,Beijing,,China,"39.909695, 116.43508",39.909695, 116.43508,
"Institute of Contemporary Art, Boston",Institution,Q3152226,Boston,MA,USA,"42.3528, -71.0429",42.3528, -71.0429,
"Institute of Fine Arts, New York University",Institution,Q3339070,New York,NY,USA,"40.7305,-73.9995",40.7305,-73.9995,
"Institute of History, Philology, and Philosophy, Novosibirsk",Institution,Q4201797,Novosibirsk,,Russia,"54.971490,82.904980",54.971490,82.904980,"Nikolaev Street, 8, Novosibirsk, 630090, Russia"
Instituto de Investigaciones Arqueológicas y Museo,Institution,Q3244385,San Pedro de Atacama,,Chile,"-23.681, -70.41",-23.681, -70.41,
Instituto del Patrimonio Cultural (Venezuela),City of Residence,Q127455844,Caracas,,Venezuela,"10.5,-66.933333",10.5,-66.933333,
"Instituto Nacional de Antropología e Historia, Mexico City",Institution,Q901361,Mexico City,,Mexico,"19.407777777778,-99.168055555556",19.407777777778,-99.168055555556,
"Instituto Nacional de Cultura, Trujillo, Peru",Institution,Q6973631,Trujillo,,Peru,"-8.110250,-79.028060",-8.110250,-79.028060,"Jirón Independencia 548, Trujillo 13001, Peru"
"Instituto Pedagógico Juan Pablo II, Trujillo, Peru",Institution,Q127328946,Trujillo,,Peru,"-8.12277,-79.023069",-8.12277,-79.023069,
International Institute for Environment and Development,Institution,Q16987067,London,,United Kingdom,"51.51836113411056,-0.11238093280921395",51.51836113411056,-0.11238093280921395,
"Ioannina, Greece",City of Residence,Q183199,Ioannina,,Greece,"39.66361111111111,20.852222222222224",39.66361111111111,20.852222222222224,
"Irvine, CA",City of Residence,Q49219,Irvine,CA,USA,"33.684166666667,-117.7925",33.684166666667,-117.7925,
İstanbul Teknik Üniversitesi,Institution,Q344334,Istanbul,,Turkey,"41.105,29.025",41.105,29.025,
Istituto della enciclopedia italiana,Institution,Q3803714,Rome,,Italy,"41.89453825593409,12.477509025802854",41.89453825593409,12.477509025802854,
Istituto italiano di scienze umane,Institution,Q3803772,Florence,,Italy,"43.771446,11.25334",43.771446,11.25334,
Istituto Universitario di Architettura di Venezia,Institution,Q727492,Venice,,Italy,"45.4331,12.3149",45.4331,12.3149,
"Istituto Veneto di Scienze, Lettere ed Arti",Institution,Q1674868,Venice,,Italy,"45.431915, 12.329616",45.431915, 12.329616,
Ithaca College,Institution,Q3540690,Ithaca,NY,USA,"42.4218,-76.4947",42.4218,-76.4947,
J. Paul Getty Museum,Institution,Q731126,Los Angeles,CA,USA,"34.0775,-118.475",34.0775,-118.475,
James Madison University,Institution,Q258943,Harrisonburg,VA,USA,"38.438444444444,-78.87375",38.438444444444,-78.87375,
Jāmiʻah al-Lubnānīyah,Institution,Q975461,Beirut,,Lebanon,"33.827815,35.522189",33.827815,35.522189,
"Japanese American national museum Los Angeles, Calif",Institution,Q1590419,Los Angeles,CA,USA,"34.0496,-118.239",34.0496,-118.239,
Jawaharlal Nehru University,Institution,Q1147063,New Delhi,,India,"28.545803055555556,77.1703438888889",28.545803055555556,77.1703438888889,
"Jersey City, NJ",City of Residence,Q26339,Jersey City,NJ,USA,"40.71,-74.06",40.71,-74.06,
John and Mable Ringling Museum of Art,Institution,Q612530,Sarasota,FL,USA,"27.3814,-82.5591",27.3814,-82.5591,
John Paul II Catholic University of Lublin,Institution,Q175529,Lublin,,Poland,"51.247778,22.544722",51.247778,22.544722,
Johns Hopkins University,Institution,Q193727,Baltimore,MD,USA,"39.32888888888889,-76.62055555555555",39.32888888888889,-76.62055555555555,
Joslyn Art Museum,Institution,Q1372546,Omaha,NE,USA,"41.260254,-95.946022",41.260254,-95.946022,
Justus-Liebig-Universität Gießen,Institution,Q317053,Giessen,,Germany,"50.580833333333,8.6763888888889",50.580833333333,8.6763888888889,
Kalamazoo College,Institution,Q6350383,Kalamazoo,MI,USA,"42.29,-85.601",42.29,-85.601,
"Kansas City, MO",City of Residence,Q41819,Kansas City,MO,USA,"39.05,-94.583333333333",39.05,-94.583333333333,
Karlsruher Institut für Technologie,Institution,Q309988,Karlsruhe,,Germany,"49.0996,8.4319",49.0996,8.4319,
Katholieke Universiteit te Leuven,Institution,Q833670,Leuven,,Belgium,"50.877963,4.700294",50.877963,4.700294,
Ķazaķ Ǔlttyḳ Öner Akademijasy T. Žürgenov Atynd,Institution,Q4208080,Almaty,,Kazakhstan,"43.2518,76.9445",43.2518,76.9445,
Kenyatta University,Institution,Q46756,Nairobi,,Kenya,"-1.179722,36.933333",-1.179722,36.933333,
Kenyon college,Institution,Q1797768,Gambier,OH,USA,"40.374722,-82.397222",40.374722,-82.397222,
Kimbell Art Museum,Institution,Q1741629,Fort Worth,TX,USA,"32.748333333333,-97.365277777778",32.748333333333,-97.365277777778,
Kings College London,Institution,Q245247,London,,United Kingdom,"51.511944444444,-0.11611111111111",51.511944444444,-0.11611111111111,
Kingston University,Institution,Q2503809,Kingston upon Thames,,United Kingdom,"51.405928,-0.307837",51.405928,-0.307837,
"Kingston, Canada",City of Residence,Q202973,Kingston,,Canada,"44.233333,-76.5",44.233333,-76.5,
Københavns Universitet universitet i København,Institution,Q186285,Copenhagen,,Denmark,"55.679722222222,12.5725",55.679722222222,12.5725,
Koç Üniversitesi,Institution,Q1193155,Istanbul,,Turkey,"41.19777777777778,29.065",41.19777777777778,29.065,
"Komotini, Greece",City of Residence,Q208403,Komotini,,Greece,"41.116666666667,25.4",41.116666666667,25.4,
Kulturprojekte Berlin,Institution,Q50315164,Berlin,,Germany,"52.51778803060528,13.41317727180445",52.51778803060528,13.41317727180445,
Kulturwissenschaftliches Institut Essen,Institution,Q1791897,Essen,,Germany,"51.443686,7.003623",51.443686,7.003623,
Kunsthaus Dahlem,Institution,Q50672242,Berlin,,Germany,"52.466944,13.273611",52.466944,13.273611,
Kunsthistorisches Institut in Florenz,Institution,Q872398,Florence,,Italy,"43.7772, 11.264",43.7772, 11.264,
"Kunsthistorisches lnstitut, Rheinische Friedrich-Wilhelms-Universität Bonn",Institution,Q152171,Bonn,,Germany,"50.733889, 7.102222",50.733889, 7.102222,
Kunsthistorisches Museum,Institution,Q95569,Vienna,,Austria,"48.203802,16.361787",48.203802,16.361787,
Kunstmuseum Bern,Institution,Q19362502,Bern,,Switzerland,"46.95092,7.44344",46.95092,7.44344,
Kyushu University,Institution,Q1188786,Fukuoka,,Japan,"33.595722,130.217778",33.595722,130.217778,
L'appartement 22,Institution,Q3272215,Rabat,,Morocco,"34.01899065519294,-6.835209491518479",34.01899065519294,-6.835209491518479,
La Trobe University,Institution,Q1478723,Victoria,,Australia,"-37.72179,145.047909",-37.72179,145.047909,
Lafayette College,Institution,Q1592074,Easton,PA,USA,"40.698611, -75.208056",40.698611, -75.208056,
Lake Forest College,Institution,Q6475861,Lake Forest,IL,USA,"42.2496,-87.8285",42.2496,-87.8285,
Lamar University,Institution,Q2393647,Beaumont,TX,USA,"30.041944,-94.075",30.041944,-94.075,
"Larciano, Italy",City of Residence,Q102609,Larciano,Toscana,Italy,"43.8278802,10.8579151",43.8278802,10.8579151,
"Las Palmas de Gran Canaria, Spain",City of Residence,Q11974,Las Palmas de Gran Canaria,,Spain,"28.127222222222,-15.431388888889",28.127222222222,-15.431388888889,
Lehigh University,Institution,Q622137,Bethlehem,PA,USA,"40.607167,-75.379",40.607167,-75.379,
Leibniz-Institut für Europäische Geschichte,Institution,Q327772,Mainz,,Germany,"50.000231,8.271876",50.000231,8.271876,
Liechtenstein,City of Residence,Q347,,,Liechtenstein,"47.145, 9.553889",47.145, 9.553889,
"Lima, Peru",City of Residence,Q2868,Lima,,Peru,"-12.06,-77.0375",-12.06,-77.0375,
Linfied University,Institution,Q6553672,McMinnville,OR,USA,"45.199,-123.198694",45.199,-123.198694,
Liverpool John Moores University,Institution,Q1627967,Liverpool,,United Kingdom,"53.403,-2.97",53.403,-2.97,
London Library,Institution,Q269192,London,,United Kingdom,"51.50735,-0.13685",51.50735,-0.13685,
"London, England",City of Residence,Q84,London,,United Kingdom,"51.507222222222,-0.1275",51.507222222222,-0.1275,
"Long Beach, CA",City of Residence,Q16739,Long Beach,CA,USA,"33.768055555555556,-118.19555555555556",33.768055555555556,-118.19555555555556,
Long Island University,Institution,Q1783603,New York,NY,USA,"40.818888888889,-73.593888888889",40.818888888889,-73.593888888889,
Los Angeles County Museum of Art,Institution,Q1641836,Los Angeles,CA,USA,"34.06333333333333,-118.35916666666667",34.06333333333333,-118.35916666666667,
"Los Angeles, CA",City of Residence,Q65,Los Angeles,CA,USA,"34.05223,-118.24368",34.05223,-118.24368,
Loughborough University,Institution,Q1434547,Loughborough,,United Kingdom,"52.768333333333,-1.2286111111111",52.768333333333,-1.2286111111111,
Loyola Marymount University,Institution,Q1786078,Los Angeles,CA,USA,"33.97,-118.418",33.97,-118.418,
Ludwig-Maximilians-Universität,Institution,Q55044,Munich,,Germany,"48.150833333333,11.580277777778",48.150833333333,11.580277777778,
Lviv Art Gallery,Institution,Q2391444,Lviv,,Ukraine,"49.83701667,24.02530833",49.83701667,24.02530833,
Lycoming College,Institution,Q6707331,Williamsport,PA,USA,"41.2456, -77.0001",41.2456, -77.0001,
"Lyon, France",City of Residence,Q456,Lyon,,France,"45.758888888889,4.8413888888889",45.758888888889,4.8413888888889,
"Maarssen, Netherlands",City of Residence,Q932008,Maarssen,,Netherlands,"52.1408,5.0394",52.1408,5.0394,
Macalester College,Institution,Q1141571,Saint Paul,MN,USA,"44.939444,-93.168611",44.939444,-93.168611,
Macquarie University,Institution,Q741082,Sydney,,Australia,"-33.775259,151.112915",-33.775259,151.112915,
Madison Museum of Contemporary Art,Institution,Q6728060,Madison,WI,USA,"43.07458, -89.38914",43.07458, -89.38914,
"Madrid, Spain",City of Residence,Q2807,Madrid,,Spain,"40.416944,-3.703333",40.416944,-3.703333,
Magazzino Italian Art,Institution,Q104858211,Cold Spring,NY,USA,"41.4298,-73.9149",41.4298,-73.9149,
Magyar Épitömüvészet,Institution,Q97317546,Budapest,,Hungary,"47.490320, 19.064447",47.490320, 19.064447,
Mahāwitthayālai Sinlapākǭn,Institution,Q1209824,Bangkok,,Thailand,"13.753036111111,100.49110555556",13.753036111111,100.49110555556,
"Malibu, CA",City of Residence,Q387047,Malibu,CA,USA,"34.035,-118.695",34.035,-118.695,
Manhattan College,Institution,Q2749572,Bronx,NY,USA,"40.889444,-73.901944",40.889444,-73.901944,
"Mansfield Center, CT",City of Residence,Q937718,Mansfield Center,CT,USA,"41.788333333333,-72.228888888889",41.788333333333,-72.228888888889,
"Marseille, France",City of Residence,Q23482,Marseille,,France,"43.296667,5.376389",43.296667,5.376389,
Martin-Luther-Universität Halle-Wittenberg,Institution,Q32120,Wittenberg,,Germany,"51.48638889,11.96888889",51.48638889,11.96888889,
Maryland Institute College of Art,Institution,Q6781349,Baltimore,MD,USA,"39.3056,-76.6206",39.3056,-76.6206,
Masaryk University,Institution,Q763586,Brno,,Czech Republic,"49.198611,16.605278",49.198611,16.605278,
Massachusetts Institute of Technology,Institution,Q49108,Cambridge,MA,USA,"42.359722, -71.091944",42.359722, -71.091944,
Mathewson Architektur Berlin,Institution,Q130387420,Berlin,,Germany,"52.460742991986784,13.385619222072643",52.460742991986784,13.385619222072643,
Mauritshuis,Institution,Q221092,The Hague,,Netherlands,"52.08038888888889,4.314305555555555",52.08038888888889,4.314305555555555,
Max Weber Stiftung bundesunmittelbare Stiftung mit Sitz in Bonn,Institution,Q1913589,Bonn,,Germany,"50.684363,7.160373",50.684363,7.160373,
Max-Planck-Institut für Wissenschaftsgeschichte,Institution,Q318118,Berlin,,Germany,"52.4453,13.2778",52.4453,13.2778,
McGill University,Institution,Q201492,Montreal,,Canada,"45.50416944444444,-73.57471944444444",45.50416944444444,-73.57471944444444,
Mead Art Museum,Institution,Q6803132,Amherst,MA,USA,"42.3709,-72.5155",42.3709,-72.5155,
"Medford, MD",City of Residence,Q111926755,Medford,MD,USA,"39.554618604942696,-77.10657492924379",39.554618604942696,-77.10657492924379,
Memorial University of Newfoundland,Institution,Q1895354,St. Johns,,Canada,"47.57203,-52.73265",47.57203,-52.73265,
"Mexico City, Mexico",City of Residence,Q1489,Mexico City,,Mexico,"19.419444444444,-99.145555555556",19.419444444444,-99.145555555556,
Miami University,Institution,Q590643,Oxford,OH,USA,"39.511905,-84.734674",39.511905,-84.734674,
"Miami, FL",City of Residence,Q8652,Miami,FL,USA,"25.783333333333,-80.216666666667",25.783333333333,-80.216666666667,
Michigan State University,Institution,Q270222,East Lansing,MI,USA,"42.7018637482531,-84.48216117291386",42.7018637482531,-84.48216117291386,
Middlebury College,Institution,Q1357891,Middlebury,VT,USA,"44.008889, -73.177222",44.008889, -73.177222,
Middlesex University,Institution,Q1760791,London,,United Kingdom,"51.5893495,-0.2282466",51.5893495,-0.2282466,
"Ministère de la Culture, Paris",Institution,Q384602,Paris,,France,"48.8623913,2.3388968",48.8623913,2.3388968,
Ministero dei Beni e delle Attività Culturali e del Turismo,Institution,Q1347047,Rome,,Italy,"41.897836111111,12.480447222222",41.897836111111,12.480447222222,
Minneapolis Institute of Arts,Institution,Q1700481,Minneapolis,MN,USA,"44.958539, -93.274205",44.958539, -93.274205,
Miyazaki International College,Institution,Q6884445,Miyazaki,,Japan,"31.860833,131.395",31.860833,131.395,
"Mobilier national et Manufactures nationales des Gobelins, de Beauvais et de la Savonnerie",Institution,Q87738830,Paris,,France,"48.83404446365748,2.3509931971452143",48.83404446365748,2.3509931971452143,
"Montreal, Canada",City of Residence,Q340,Montreal,QC,Canada,"45.508888888889,-73.561666666667",45.508888888889,-73.561666666667,
Moravian Gallery in Brno,Institution,Q3094617,Brno,,Czech Republic,"49.195508,16.604365",49.195508,16.604365,
Moscow Institute of Cinema Studies,Institution,Q127788421,Moscow,,Russia,"55.755833333333,37.617777777778",55.755833333333,37.617777777778,
Mount Holyoke College,Institution,Q1140542,South Hadley,MA,USA,"42.255586,-72.574503",42.255586,-72.574503,
"Munich, Germany",City of Residence,Q1726,Munich,,Germany,"48.1375,11.575",48.1375,11.575,
Municipal Art Society of New York,Institution,Q1952813,New York,NY,USA,"40.75909545856044, -73.97514815994894",40.75909545856044, -73.97514815994894,
Musée d'art et d'histoire,Institution,Q679075,Geneva,,Switzerland,"46.199304,6.151574",46.199304,6.151574,
Musée d'Orsay,Institution,Q23402,Paris,,France,"48.86,2.326389",48.86,2.326389,
Musée de l'Ecole de Nancy,Institution,Q3277928,Nancy,,France,"48.680278,6.165833",48.680278,6.165833,
Musée de l'homme,Institution,Q670268,Paris,,France,"48.86218,2.28741",48.86218,2.28741,
Musée des Beaux-Arts de Lyon,Institution,Q511,Lyon,,France,"45.766944,4.833611",45.766944,4.833611,
Musée du Louvre,Institution,Q19675,Paris,,France,"48.861111111111114,2.3358333333333334",48.861111111111114,2.3358333333333334,
Musée Goupil Bourdeaux,Institution,Q15818400,Bordeaux,,France,"44.83581,-0.57446",44.83581,-0.57446,
Musée national du château de Versailles et de Trianon,Institution,Q2946,Versailles,,France,"48.804722,2.120278",48.804722,2.120278,
Musées royaux d'art et d'histoire,Institution,Q945059,Brussels,,Belgium,"50.83936,4.3917",50.83936,4.3917,
Musées royaux des Beaux-Arts de Belgique,Institution,Q377500,Brussels,,Belgium,"50.84168,4.358238",50.84168,4.358238,
Museo Cerralbo,Institution,Q976019,Madrid,,Spain,"40.423684,-3.714577",40.423684,-3.714577,
Museo de Arte de Lima,Institution,Q6033913,Lima,,Peru,"-12.060446, -77.03697",-12.060446, -77.03697,
Museo de Belles Artes de Sevilla,Institution,Q2163496,Seville,,Spain,"37.392654,-6.000126",37.392654,-6.000126,
Museo De La Solidaridad Salvador Allende,Institution,Q6034308,Santiago,,Chile,"-33.45415,-70.667561",-33.45415,-70.667561,
Museo del Templo Mayor,Institution,Q3330387,Mexico City,,Mexico,"19.43489,-99.13029",19.43489,-99.13029,
Museo Nacional del Prado,Institution,Q160112,Madrid,,Spain,"40.41388888888889,-3.692222222222222",40.41388888888889,-3.692222222222222,
Museo Thyssen-Bornemisza,Institution,Q176251,Madrid,,Spain,"40.416041,-3.694925",40.416041,-3.694925,
Museum Boymans-van Beuningen,Institution,Q679527,Rotterdam,,Netherlands,"51.914183,4.47308",51.914183,4.47308,
Museum of Arts and Design,Institution,Q6940773,New York,NY,USA,"40.7675,-73.9819",40.7675,-73.9819,
"Museum of Fine Arts, Boston",Institution,Q49133,Boston,MA,USA,"42.339444,-71.094167",42.339444,-71.094167,
"Museum of Fine Arts, Budapest",Institution,Q840886,Budapest,,Hungary,"47.51587,19.07678",47.51587,19.07678,
"Museum of Fine Arts, Houston",Institution,Q1565911,Houston,TX,USA,"29.725694,-95.390417",29.725694,-95.390417,
"Museum of modern art New York, NY",Institution,Q188740,New York,NY,USA,"40.76166666666667,-73.9775",40.76166666666667,-73.9775,
Muzeji Ivana Meštrovića,Institution,Q6096967,Split,,Croatia,"43.504306,16.417917",43.504306,16.417917,
Národní galerie v Praze,Institution,Q1419555,Prague,,Czech Republic,"50.101111,14.4325",50.101111,14.4325,
Nassau Community College,Institution,Q6967558,Garden City,NY,USA,"40.7299,-73.5922",40.7299,-73.5922,
"National Academy of Fine Arts, Athens",Institution,Q414014,Athens,,Greece,"37.9620098,23.6881821",37.9620098,23.6881821,
National Academy of Sciences of Ukraine,Institution,Q958769,Kyiv,,Ukraine,"50.445,30.5125",50.445,30.5125,
National Art School,Institution,Q6970484,Sydney,,Australia,"-33.8798,151.219",-33.8798,151.219,
"National College of Art and Design, Dublin",Institution,Q6971598,Dublin,,Ireland,"53.34277778,-6.27888889",53.34277778,-6.27888889,
National Endowment for the Arts,Institution,Q1967116,Washington,DC,USA,"38.884050, -77.020860",38.884050, -77.020860,
